GPS files created from Cragieburn_Route_16th_3.csv
Analysis type:,Fourier Analysis
Latitude,Longitude,Analysis Type,Accelerometer Location,Direction,Value,Frequency(Hz),Time,Speed
-37.6243515963,144.938278786,Fourier Analysis,Bogie 1,Vertical,0.247912102518,9.765625,106.09,113.340998703
-37.6538790963,144.929571986,Fourier Analysis,Bogie 1,Vertical,0.204691145372,10.15625,275.05,100.560101434
-37.6188166963,144.939400386,Fourier Analysis,Bogie 2,Vertical,0.223667500977,10.15625,85.61,105.210368422
-37.6243515963,144.938278786,Fourier Analysis,Bogie 2,Vertical,0.292309403943,9.765625,106.09,113.340998703
-37.6538790963,144.929571986,Fourier Analysis,Bogie 2,Vertical,0.284281416911,10.15625,275.05,100.560101434
-37.6726922963,144.923765386,Fourier Analysis,Bogie 2,Vertical,0.264113431598,9.765625,408.17,88.1177232768
-37.7878430963,144.929142486,Fourier Analysis,Body,Lateral,0.219985339451,0.390625,1460.33,4.3071268461
-37.6192327963,144.939314986,Average Peak to Peak,Bogie 2,Vertical,0.500957681379,N/A,87.24,105.583490791
-37.6240155963,144.938344986,Average Peak to Peak,Bogie 2,Vertical,0.50057728601,N/A,104.89,113.611994775
-37.6244623963,144.938256586,Average Peak to Peak,Bogie 2,Vertical,0.547906319298,N/A,106.37,113.349979674
-37.6249123963,144.938168586,Average Peak to Peak,Bogie 2,Vertical,0.554079217388,N/A,107.97,113.736528049
-37.6534382963,144.929858586,Average Peak to Peak,Bogie 2,Vertical,0.508046251477,N/A,272.9,99.8754706489
-37.6185066963,144.939467286,Base Acceleration,Bogie 1,Vertical,-0.839700012794,N/A,84.76,104.71872805
-37.6241277963,144.938322886,Base Acceleration,Bogie 1,Vertical,-0.827325512445,N/A,105.39,114.08595169
-37.6247991963,144.938193286,Base Acceleration,Bogie 1,Vertical,-0.828519807071,N/A,107.87,113.74415139
-37.6299376963,144.937145286,Base Acceleration,Bogie 1,Vertical,-0.813723670848,N/A,126.09,106.804719588
-37.6537905963,144.929628086,Base Acceleration,Bogie 1,Vertical,-0.845962683664,N/A,274.62,99.9381516517
-37.6724279963,144.923823486,Base Acceleration,Bogie 1,Vertical,-0.830583381674,N/A,407.27,86.8136346775
-37.6172771963,144.939699186,Base Acceleration,Bogie 2,Vertical,0.810169575972,N/A,79.77,103.28020429
-37.6185066963,144.939467286,Base Acceleration,Bogie 2,Vertical,-0.847379843535,N/A,84.85,104.716157482
-37.6193372963,144.939292586,Base Acceleration,Bogie 2,Vertical,0.816023236179,N/A,87.67,105.418613602
-37.6198666963,144.939183886,Base Acceleration,Bogie 2,Vertical,0.939003864841,N/A,89.69,106.743397933
-37.6206071963,144.939033386,Base Acceleration,Bogie 2,Vertical,0.830611286654,N/A,92.7,108.322134012
-37.6241277963,144.938322886,Base Acceleration,Bogie 2,Vertical,0.808833996597,N/A,105.38,114.083885382
-37.6245763963,144.938233586,Base Acceleration,Bogie 2,Vertical,0.97517911202,N/A,106.77,113.662811418
-37.6299376963,144.937145286,Base Acceleration,Bogie 2,Vertical,-0.895198530546,N/A,126.17,106.648003392
-37.6435706963,144.934415886,Base Acceleration,Bogie 2,Vertical,0.807616710323,N/A,226.88,81.7424228317
-37.6529025963,144.930196086,Base Acceleration,Bogie 2,Vertical,0.821950104608,N/A,270.68,99.1910308358
-37.6537905963,144.929628086,Base Acceleration,Bogie 2,Vertical,-0.813536551686,N/A,274.53,99.8552477035
-37.6553204963,144.928669786,Base Acceleration,Bogie 2,Vertical,0.875987230606,N/A,281.27,100.690438541
-37.6724279963,144.923823486,Base Acceleration,Bogie 2,Vertical,0.85251421457,N/A,407.08,86.6704611636
-37.7877954963,144.929119486,Base Acceleration,Body,Lateral,-1.08139423309,N/A,1460.29,4.06850978686
