GPS files created from Metro_route_25th_1.csv
Analysis type:,Fourier Analysis
Latitude,Longitude,Analysis Type,Accelerometer Location,Direction,Value,Frequency(Hz),Time,Speed
-37.6642847963,144.745263786,Fourier Analysis,Bogie 1,Vertical,0.201239365519,9.765625,675.21,96.9912933006
-37.5886268963,144.721186086,Fourier Analysis,Bogie 1,Vertical,0.207577447637,9.765625,1886.09,88.2825275523
-37.6829894963,144.759932986,Fourier Analysis,Bogie 2,Vertical,0.223836907107,9.765625,580.49,83.5486633848
-37.6664060963,144.746935686,Fourier Analysis,Bogie 2,Vertical,0.223638831081,10.15625,664.97,95.5810033642
-37.6660021963,144.746612586,Fourier Analysis,Bogie 2,Vertical,0.219673257958,9.765625,667.53,95.3290715433
-37.6642847963,144.745263786,Fourier Analysis,Bogie 2,Vertical,0.229831628819,9.765625,675.21,96.9912933006
-37.6632870963,144.744490086,Fourier Analysis,Bogie 2,Vertical,0.204826272641,9.765625,680.33,97.1676546362
-37.6581433963,144.740464786,Fourier Analysis,Bogie 2,Vertical,0.295318733688,10.15625,705.93,93.0022797751
-37.6566161963,144.739266386,Fourier Analysis,Bogie 2,Vertical,0.215580632197,9.765625,713.609999999,91.6195419205
-37.6458960963,144.730842486,Fourier Analysis,Bogie 2,Vertical,0.233503722428,10.15625,769.929999999,90.9038932906
-37.5886268963,144.721186086,Fourier Analysis,Bogie 2,Vertical,0.262010421241,9.765625,1886.09,88.2825275523
-37.5984173963,144.718271386,Fourier Analysis,Bogie 2,Vertical,0.217213769629,9.765625,1927.05,109.820764252
-37.6096863963,144.718020986,Fourier Analysis,Bogie 2,Vertical,0.266337825559,9.765625,1968.01,112.757575844
-37.6878383963,144.763781186,Fourier Analysis,Bogie 2,Vertical,0.231355383025,10.15625,2372.49000001,112.294123163
-37.6666484963,144.747126986,Average Peak to Peak,Bogie 2,Vertical,0.505903426093,N/A,663.6,95.6614470345
-37.6662443963,144.746805286,Average Peak to Peak,Bogie 2,Vertical,0.54299313478,N/A,665.62,95.833974556
-37.6644504963,144.745391186,Average Peak to Peak,Bogie 2,Vertical,0.502571011218,N/A,674.63,97.2794952338
-37.6640782463,144.745101336,Average Peak to Peak,Bogie 2,Vertical,0.541530578274,N/A,676.39,96.8638848261
-37.6637037963,144.744810186,Average Peak to Peak,Bogie 2,Vertical,0.530157352592,N/A,678.03,97.1370056307
-37.6632870963,144.744490086,Average Peak to Peak,Bogie 2,Vertical,0.561577938166,N/A,680.06,96.9062968166
-37.6584536963,144.740713586,Average Peak to Peak,Bogie 2,Vertical,0.501356921103,N/A,704.25,92.950028308
-37.6579789963,144.740348086,Average Peak to Peak,Bogie 2,Vertical,0.523737779334,N/A,706.48,92.3329115259
-37.6091717963,144.718041186,Average Peak to Peak,Bogie 2,Vertical,0.500974614388,N/A,1965.46,111.646496886
-37.6829181963,144.759877486,Base Acceleration,Bogie 1,Vertical,-0.827652556129,N/A,580.86,83.2211604218
-37.6731125963,144.752190686,Base Acceleration,Bogie 1,Vertical,0.832656056165,N/A,632.15,96.3598076718
-37.6627932963,144.744103486,Base Acceleration,Bogie 1,Vertical,-0.801824177828,N/A,682.49,96.4451441377
-37.6583739963,144.740651486,Base Acceleration,Bogie 1,Vertical,-0.80100494526,N/A,704.53,92.8257957518
-37.6579789963,144.740348086,Base Acceleration,Bogie 1,Vertical,-0.848172551453,N/A,706.47,92.3383136141
-37.6257899963,144.719625886,Base Acceleration,Bogie 1,Vertical,-0.82940465217,N/A,868.809999999,94.521019824
-37.5967900963,144.718310086,Base Acceleration,Bogie 1,Vertical,-0.811056540602,N/A,1920.67,106.528546455
-37.5985806963,144.718269286,Base Acceleration,Bogie 1,Vertical,-0.825698895959,N/A,1927.24,109.760835407
-37.6080086963,144.718056486,Base Acceleration,Bogie 1,Vertical,-0.849320230635,N/A,1961.37,111.124234005
-37.6088324963,144.718038286,Base Acceleration,Bogie 1,Vertical,-0.800188541959,N/A,1964.41,111.452607107
