GPS files created from Werribee_Route_29th_1.csv
Analysis type:,Fourier Analysis
Latitude,Longitude,Analysis Type,Accelerometer Location,Direction,Value,Frequency(Hz),Time,Speed
-37.8774028963,144.718187986,Fourier Analysis,Bogie 1,Vertical,0.20354244747,9.765625,310.88,106.466694504
-37.8763707963,144.722262286,Fourier Analysis,Bogie 1,Vertical,0.202302234975,9.765625,323.68,104.472329052
-37.8525693963,144.816470486,Fourier Analysis,Bogie 1,Vertical,0.245873754693,10.15625,848.479999999,111.986050932
-37.8512722963,144.821593586,Fourier Analysis,Bogie 1,Vertical,0.227351905123,9.765625,863.839999999,109.205251364
-37.8479049963,144.834946686,Fourier Analysis,Bogie 1,Vertical,0.2075463474,10.15625,904.799999999,111.707028631
-37.8466879963,144.840163686,Fourier Analysis,Bogie 1,Vertical,0.227816125485,9.765625,920.159999999,112.67344039
-37.8774028963,144.718187986,Fourier Analysis,Bogie 2,Vertical,0.274225040843,9.765625,310.88,106.466694504
-37.8765802963,144.721437686,Fourier Analysis,Bogie 2,Vertical,0.202115795983,10.15625,321.12,104.804970257
-37.8763707963,144.722262286,Fourier Analysis,Bogie 2,Vertical,0.284058246315,9.765625,323.68,104.472329052
-37.8591976963,144.790219286,Fourier Analysis,Bogie 2,Vertical,0.229067619057,9.765625,766.559999999,98.8575116404
-37.8582171963,144.794081786,Fourier Analysis,Bogie 2,Vertical,0.228977932575,9.765625,779.359999999,101.691467438
-37.8527882963,144.815593986,Fourier Analysis,Bogie 2,Vertical,0.221958102056,10.15625,845.919999999,112.685048152
-37.8525693963,144.816470486,Fourier Analysis,Bogie 2,Vertical,0.360673898858,9.765625,848.479999999,111.986050932
-37.8523475963,144.817343386,Fourier Analysis,Bogie 2,Vertical,0.343002309983,10.9375,851.039999999,111.554795819
-37.8514850963,144.820742086,Fourier Analysis,Bogie 2,Vertical,0.260844579346,10.15625,861.279999999,109.570221189
-37.8512722963,144.821593586,Fourier Analysis,Bogie 2,Vertical,0.360308100841,9.765625,863.839999999,109.205251364
-37.8506447963,144.824067786,Fourier Analysis,Bogie 2,Vertical,0.207204412201,10.546875,871.519999999,107.18162896
-37.8500223963,144.826565986,Fourier Analysis,Bogie 2,Vertical,0.251349081086,10.15625,879.199999999,106.390432852
-37.8498104963,144.827396986,Fourier Analysis,Bogie 2,Vertical,0.271132298853,10.15625,881.759999999,106.484298519
-37.8485676963,144.832339086,Fourier Analysis,Bogie 2,Vertical,0.2427539579,10.546875,897.119999999,110.760606186
-37.8479049963,144.834946686,Fourier Analysis,Bogie 2,Vertical,0.340438782542,10.15625,904.799999999,111.707028631
-37.8466879963,144.840163686,Fourier Analysis,Bogie 2,Vertical,0.353934351773,9.765625,920.159999999,112.67344039
-37.8464456963,144.843714686,Fourier Analysis,Bogie 2,Vertical,0.206660658516,9.765625,930.399999999,109.350636253
-37.8526373963,144.816202286,Average Peak to Peak,Bogie 1,Vertical,0.501836314321,N/A,847.659999999,111.934125956
-37.8525179963,144.816672886,Average Peak to Peak,Bogie 1,Vertical,0.556678980584,N/A,849.019999999,112.178468
-37.8513375963,144.821330886,Average Peak to Peak,Bogie 1,Vertical,0.500352073732,N/A,862.969999999,109.011631287
-37.8512243963,144.821790586,Average Peak to Peak,Bogie 1,Vertical,0.516638896344,N/A,864.419999999,108.971987736
-37.8774989963,144.717803786,Average Peak to Peak,Bogie 2,Vertical,0.501035372495,N/A,309.79,106.269999371
-37.8773863963,144.718250886,Average Peak to Peak,Bogie 2,Vertical,0.564298419492,N/A,311.13,106.722236615
-37.8772656963,144.718700886,Average Peak to Peak,Bogie 2,Vertical,0.533508144291,N/A,312.48,106.676008842
-37.8765963963,144.721374686,Average Peak to Peak,Bogie 2,Vertical,0.504000779093,N/A,320.95,104.915375408
-37.8764827963,144.721817286,Average Peak to Peak,Bogie 2,Vertical,0.547107437948,N/A,322.23,105.125855992
-37.8763707963,144.722262286,Average Peak to Peak,Bogie 2,Vertical,0.54712128785,N/A,323.68,104.472329052
-37.8592265963,144.790100586,Average Peak to Peak,Bogie 2,Vertical,0.502771413993,N/A,766.249999999,98.6398093927
-37.8572953963,144.797749286,Average Peak to Peak,Bogie 2,Vertical,0.502946883101,N/A,791.169999999,104.277895685
-37.8529086963,144.815116186,Average Peak to Peak,Bogie 2,Vertical,0.500518865341,N/A,844.439999999,112.61461045
-37.8527882963,144.815593986,Average Peak to Peak,Bogie 2,Vertical,0.609492645559,N/A,845.759999999,112.703249394
-37.8526701963,144.816067886,Average Peak to Peak,Bogie 2,Vertical,0.686201412528,N/A,847.179999999,112.540066501
-37.8525516963,144.816537886,Average Peak to Peak,Bogie 2,Vertical,0.890868582092,N/A,848.639999999,112.002964015
-37.8524337963,144.817008686,Average Peak to Peak,Bogie 2,Vertical,0.754612293741,N/A,849.959999999,111.753711829
-37.8523136963,144.817477986,Average Peak to Peak,Bogie 2,Vertical,0.603278015545,N/A,851.409999999,111.481167809
-37.8521933963,144.817949786,Average Peak to Peak,Bogie 2,Vertical,0.554941539292,N/A,852.759999999,111.12650599
-37.8515658963,144.820412186,Average Peak to Peak,Bogie 2,Vertical,0.503211914492,N/A,860.279999999,109.851803823
-37.8514520963,144.820873186,Average Peak to Peak,Bogie 2,Vertical,0.629596102179,N/A,861.629999999,109.420633587
-37.8513375963,144.821330886,Average Peak to Peak,Bogie 2,Vertical,0.717580578722,N/A,862.969999999,109.011631287
-37.8512243963,144.821790586,Average Peak to Peak,Bogie 2,Vertical,0.741233792067,N/A,864.419999999,108.971987736
-37.8511088963,144.822249686,Average Peak to Peak,Bogie 2,Vertical,0.659500188824,N/A,865.769999999,108.770638904
-37.8509768963,144.822769986,Average Peak to Peak,Bogie 2,Vertical,0.50030799013,N/A,867.479999999,108.298223651
-37.8508582963,144.823225486,Average Peak to Peak,Bogie 2,Vertical,0.522703280507,N/A,868.819999999,107.809003506
-37.8507390963,144.823679586,Average Peak to Peak,Bogie 2,Vertical,0.554114435084,N/A,870.169999999,107.380677424
-37.8505969963,144.824262686,Average Peak to Peak,Bogie 2,Vertical,0.500696738549,N/A,872.059999999,107.265720164
-37.8500375963,144.826501386,Average Peak to Peak,Bogie 2,Vertical,0.510105885269,N/A,878.959999999,106.418645547
-37.8499265963,144.826946886,Average Peak to Peak,Bogie 2,Vertical,0.612883879372,N/A,880.359999999,106.500858875
-37.8498104963,144.827396986,Average Peak to Peak,Bogie 2,Vertical,0.623661789354,N/A,881.789999999,106.535903177
-37.8496952963,144.827849786,Average Peak to Peak,Bogie 2,Vertical,0.541076947771,N/A,883.189999999,106.53614451
-37.8495728963,144.828302886,Average Peak to Peak,Bogie 2,Vertical,0.512346554997,N/A,884.529999999,106.890170097
-37.8487850963,144.831474686,Average Peak to Peak,Bogie 2,Vertical,0.501672563566,N/A,894.439999999,109.733506243
-37.8486673963,144.831939486,Average Peak to Peak,Bogie 2,Vertical,0.507140516913,N/A,895.819999999,110.005474055
-37.8481960963,144.833803686,Average Peak to Peak,Bogie 2,Vertical,0.513589208936,N/A,901.529999999,110.840064049
-37.8480739963,144.834274586,Average Peak to Peak,Bogie 2,Vertical,0.551288068829,N/A,902.849999999,111.295448808
-37.8478878963,144.835013486,Average Peak to Peak,Bogie 2,Vertical,0.502458721438,N/A,905.029999999,111.949367395
-37.8477669963,144.835484786,Average Peak to Peak,Bogie 2,Vertical,0.559037141763,N/A,906.489999999,111.945136328
-37.8467483963,144.839750086,Average Peak to Peak,Bogie 2,Vertical,0.503398759282,N/A,919.039999999,112.433772336
-37.8466829963,144.840197686,Average Peak to Peak,Bogie 2,Vertical,0.501368807571,N/A,920.349999999,112.423034096
-37.8774989963,144.717803786,Base Acceleration,Bogie 1,Vertical,-0.872190298138,N/A,309.79,106.269999371
-37.8772847963,144.718638886,Base Acceleration,Bogie 1,Vertical,-0.805252981744,N/A,312.38,106.600188697
-37.8764827963,144.721817286,Base Acceleration,Bogie 1,Vertical,-0.806442231844,N/A,322.3,105.128917205
-37.8590175963,144.790934086,Base Acceleration,Bogie 1,Vertical,-0.819786697099,N/A,769.069999999,99.3072287254
-37.8582044963,144.794141086,Base Acceleration,Bogie 1,Vertical,-0.841784854303,N/A,779.579999999,101.638747721
-37.8564145963,144.801230086,Base Acceleration,Bogie 1,Vertical,-0.807209536125,N/A,802.209999999,106.017698494
-37.8527214963,144.815864086,Base Acceleration,Bogie 1,Vertical,-0.907484651433,N/A,846.589999999,112.29253352
-37.8526121463,144.816302936,Base Acceleration,Bogie 1,Vertical,-0.830512153962,N/A,847.949999999,111.885985713
-37.8524668963,144.816873786,Base Acceleration,Bogie 1,Vertical,-0.82023847386,N/A,849.689999999,111.849929771
-37.8513861963,144.821135186,Base Acceleration,Bogie 1,Vertical,-0.840760257537,N/A,862.409999999,109.412894738
-37.8512722963,144.821593586,Base Acceleration,Bogie 1,Vertical,-1.22440755492,N/A,863.759999999,109.216903177
-37.8499914963,144.826692186,Base Acceleration,Bogie 1,Vertical,0.806319963122,N/A,879.639999999,106.341190594
-37.8498275963,144.827331986,Base Acceleration,Bogie 1,Vertical,-0.839908606494,N/A,881.579999999,106.249513367
-37.8485849963,144.832272586,Base Acceleration,Bogie 1,Vertical,-0.830713549043,N/A,896.849999999,110.617783712
-37.8480239963,144.834478186,Base Acceleration,Bogie 1,Vertical,-0.842434186527,N/A,903.459999999,111.666775583
-37.8467093963,144.840023686,Base Acceleration,Bogie 1,Vertical,-0.814998478586,N/A,919.759999999,112.695466243
-37.8894663963,144.685885986,Base Acceleration,Bogie 2,Vertical,-0.803769273823,N/A,120.98,94.398507309
-37.8775150963,144.717739386,Base Acceleration,Bogie 2,Vertical,0.876917269864,N/A,309.42,106.128567085
-37.8773009963,144.718573886,Base Acceleration,Bogie 2,Vertical,0.805185884004,N/A,312.18,106.388714548
-37.8765640963,144.721501086,Base Acceleration,Bogie 2,Vertical,0.870259874709,N/A,321.34,104.672665223
-37.8764501963,144.721945086,Base Acceleration,Bogie 2,Vertical,-1.21111375225,N/A,322.62,104.762840853
-37.8591834963,144.790278786,Base Acceleration,Bogie 2,Vertical,0.816132611138,N/A,766.939999999,98.9457253002
-37.8590645963,144.790754586,Base Acceleration,Bogie 2,Vertical,0.820310056838,N/A,768.499999999,99.2920274104
-37.8582313963,144.794024086,Base Acceleration,Bogie 2,Vertical,-0.853225130655,N/A,779.289999999,101.749335966
-37.8574357963,144.797180986,Base Acceleration,Bogie 2,Vertical,0.840737418217,N/A,789.389999999,104.031208605
-37.8567694963,144.799836786,Base Acceleration,Bogie 2,Vertical,0.826639392971,N/A,797.759999999,104.878816278
-37.8565123963,144.800850486,Base Acceleration,Bogie 2,Vertical,0.861494531389,N/A,801.079999999,105.611157897
-37.8529950963,144.814776086,Base Acceleration,Bogie 2,Vertical,0.881879649257,N/A,843.499999999,113.164138909
-37.8527557963,144.815728986,Base Acceleration,Bogie 2,Vertical,-0.811230211183,N/A,846.319999999,112.504533184
-37.8526454963,144.816168586,Base Acceleration,Bogie 2,Vertical,0.882937854763,N/A,847.549999999,112.055505898
-37.8525013963,144.816739086,Base Acceleration,Bogie 2,Vertical,-0.821697415908,N/A,849.199999999,112.218156768
-37.8523902463,144.817176386,Base Acceleration,Bogie 2,Vertical,-1.56267937867,N/A,850.549999999,111.755027045
-37.8514686963,144.820807386,Base Acceleration,Bogie 2,Vertical,0.801102602074,N/A,861.429999999,109.497466201
-37.8513375963,144.821330886,Base Acceleration,Bogie 2,Vertical,0.825572488554,N/A,862.969999999,109.011631287
-37.8510763963,144.822380486,Base Acceleration,Bogie 2,Vertical,-0.807269266057,N/A,866.329999999,108.457220992
-37.8506447963,144.824067786,Base Acceleration,Bogie 2,Vertical,0.87996692914,N/A,871.409999999,107.230447036
-37.8500527963,144.826435586,Base Acceleration,Bogie 2,Vertical,0.826885301942,N/A,878.939999999,106.422915637
-37.8499424963,144.826883786,Base Acceleration,Bogie 2,Vertical,0.916846818753,N/A,880.159999999,106.410942077
-37.8498275963,144.827331986,Base Acceleration,Bogie 2,Vertical,0.948122126863,N/A,881.579999999,106.249513367
-37.8489013963,144.831021786,Base Acceleration,Bogie 2,Vertical,0.809774091834,N/A,893.079999999,108.979952294
-37.8485849963,144.832272586,Base Acceleration,Bogie 2,Vertical,0.952901745599,N/A,896.839999999,110.60578229
-37.8482827963,144.833467286,Base Acceleration,Bogie 2,Vertical,0.907130202438,N/A,900.489999999,111.0818181
-37.8480239963,144.834478186,Base Acceleration,Bogie 2,Vertical,0.951970356391,N/A,903.449999999,111.651491036
-37.8474444963,144.836765686,Base Acceleration,Bogie 2,Vertical,0.807311887198,N/A,910.219999999,112.470018122
