GPS files created from Cranbourne_Route_3rd_1.csv
Analysis type:,Fourier Analysis
Latitude,Longitude,Analysis Type,Accelerometer Location,Direction,Value,Frequency(Hz),Time,Speed
-38.0182268963,145.230981086,Fourier Analysis,Bogie 1,Vertical,0.2640601571,10.546875,2886.25000002,111.132005172
-38.0189087963,145.231281686,Fourier Analysis,Bogie 1,Vertical,0.205828610358,10.9375,2888.81000002,111.044564119
-38.0195364963,145.231560086,Fourier Analysis,Bogie 1,Vertical,0.225664544833,10.9375,2891.37000002,111.394625596
-38.0342057963,145.238031786,Fourier Analysis,Bogie 1,Vertical,0.230405184426,9.765625,2945.13000002,116.77625729
-38.0424987963,145.241875086,Fourier Analysis,Bogie 1,Vertical,0.260853684005,10.15625,2975.85000002,113.783601365
-38.0192221963,145.231434786,Fourier Analysis,Bogie 1,Vertical,0.23041072603,9.765625,5174.89000007,102.960471498
-38.0186376963,145.231173286,Fourier Analysis,Bogie 1,Vertical,0.290171478894,10.15625,5177.45000007,103.806341279
-38.0180046963,145.230910186,Fourier Analysis,Bogie 1,Vertical,0.238298106188,9.765625,5180.01000007,103.959779896
-38.0160917963,145.230065686,Fourier Analysis,Bogie 1,Vertical,0.207595185722,10.15625,5187.69000007,102.947034088
-38.0105330963,145.227622086,Fourier Analysis,Bogie 1,Vertical,0.209413769646,9.765625,5210.73000007,102.874950212
-38.0093093963,145.227069886,Fourier Analysis,Bogie 1,Vertical,0.221242308636,10.15625,5215.85000007,104.090842895
-38.0111430963,145.227857386,Fourier Analysis,Bogie 2,Vertical,0.204573270818,9.765625,2858.09000002,99.8313389305
-38.0142405963,145.229233586,Fourier Analysis,Bogie 2,Vertical,0.207814964612,9.765625,2870.89000002,105.830525449
-38.0148957963,145.229529386,Fourier Analysis,Bogie 2,Vertical,0.224050692523,9.765625,2873.45000002,106.620175286
-38.0161886963,145.230084086,Fourier Analysis,Bogie 2,Vertical,0.228191141775,9.765625,2878.57000002,109.43326369
-38.0182268963,145.230981086,Fourier Analysis,Bogie 2,Vertical,0.302847857481,9.765625,2886.25000002,111.132005172
-38.0189087963,145.231281686,Fourier Analysis,Bogie 2,Vertical,0.203170956012,9.765625,2888.81000002,111.044564119
-38.0195364963,145.231560086,Fourier Analysis,Bogie 2,Vertical,0.256338081215,9.765625,2891.37000002,111.394625596
-38.0342057963,145.238031786,Fourier Analysis,Bogie 2,Vertical,0.249347904012,9.765625,2945.13000002,116.77625729
-38.0424987963,145.241875086,Fourier Analysis,Bogie 2,Vertical,0.39368983906,9.765625,2975.85000002,113.783601365
-38.0679520963,145.255121286,Fourier Analysis,Bogie 2,Vertical,0.240426056712,10.546875,4875.37000006,98.1749743871
-38.0337810963,145.237851886,Fourier Analysis,Bogie 2,Vertical,0.222005576155,10.9375,5113.45000007,101.413708936
-38.0192221963,145.231434786,Fourier Analysis,Bogie 2,Vertical,0.293439913678,10.15625,5174.89000007,102.960471498
-38.0186376963,145.231173286,Fourier Analysis,Bogie 2,Vertical,0.298916765617,10.9375,5177.45000007,103.806341279
-38.0180046963,145.230910186,Fourier Analysis,Bogie 2,Vertical,0.472560837572,10.546875,5180.01000007,103.959779896
-38.0173814963,145.230653486,Fourier Analysis,Bogie 2,Vertical,0.219188817725,9.765625,5182.57000007,104.001946136
-38.0160917963,145.230065686,Fourier Analysis,Bogie 2,Vertical,0.313708506322,10.15625,5187.69000007,102.947034088
-38.0117836963,145.228173186,Fourier Analysis,Bogie 2,Vertical,0.20797083363,9.765625,5205.61000007,102.957510995
-38.0111728963,145.227882586,Fourier Analysis,Bogie 2,Vertical,0.211937878393,10.15625,5208.17000007,101.490271206
-38.0105330963,145.227622086,Fourier Analysis,Bogie 2,Vertical,0.26097252755,10.9375,5210.73000007,102.874950212
-38.0093093963,145.227069886,Fourier Analysis,Bogie 2,Vertical,0.30831628389,8.984375,5215.85000007,104.090842895
-38.0086613963,145.226776786,Fourier Analysis,Bogie 2,Vertical,0.221382740771,10.15625,5218.41000007,106.486685862
-38.0080096963,145.226503186,Fourier Analysis,Bogie 2,Vertical,0.238166057511,10.9375,5220.97000007,105.471713544
-38.0187034963,145.231188786,Average Peak to Peak,Bogie 1,Vertical,0.500802261289,N/A,2888.03000002,111.942367851
-38.0191178963,145.231374886,Average Peak to Peak,Bogie 1,Vertical,0.50183092095,N/A,2889.75000002,111.348700118
-38.0340222963,145.237962986,Average Peak to Peak,Bogie 1,Vertical,0.502359103753,N/A,5112.33000007,101.799285522
-38.0194158963,145.231518286,Average Peak to Peak,Bogie 1,Vertical,0.504200389522,N/A,5174.22000007,102.735429873
-38.0189791963,145.231327386,Average Peak to Peak,Bogie 1,Vertical,0.622435874072,N/A,5175.95000007,103.886500199
-38.0185644963,145.231141986,Average Peak to Peak,Bogie 1,Vertical,0.676526673221,N/A,5177.68000007,103.84659503
-38.0181470963,145.230965286,Average Peak to Peak,Bogie 1,Vertical,0.683186217781,N/A,5179.32000007,103.348854777
-38.0176828963,145.230829586,Average Peak to Peak,Bogie 1,Vertical,0.598843277476,N/A,5181.33000007,101.882692227
-38.0172818963,145.230609786,Average Peak to Peak,Bogie 1,Vertical,0.510907912499,N/A,5182.93000007,103.338514661
-38.0168334963,145.230397586,Average Peak to Peak,Bogie 1,Vertical,0.504799715259,N/A,5184.71000007,103.429665449
-38.0115905963,145.228096686,Average Peak to Peak,Bogie 1,Vertical,0.501974769661,N/A,5206.34000007,102.457020708
-38.0111728963,145.227882586,Average Peak to Peak,Bogie 1,Vertical,0.524431836139,N/A,5208.18000007,101.503951887
-38.0106746963,145.227683686,Average Peak to Peak,Bogie 1,Vertical,0.50041910197,N/A,5210.14000007,102.392799686
-38.0096549963,145.227221586,Average Peak to Peak,Bogie 1,Vertical,0.504339570542,N/A,5214.45000007,104.195865205
-38.0092087963,145.227029886,Average Peak to Peak,Bogie 1,Vertical,0.543556257641,N/A,5216.09000007,103.651554002
-38.0087586963,145.226818286,Average Peak to Peak,Bogie 1,Vertical,0.501511374521,N/A,5217.96000007,104.704066733
-38.0114259963,145.227986186,Average Peak to Peak,Bogie 2,Vertical,0.508380166981,N/A,2859.29000002,100.449027323
-38.0118511963,145.228186086,Average Peak to Peak,Bogie 2,Vertical,0.532553887899,N/A,2860.99000002,101.630862301
-38.0142405963,145.229233586,Average Peak to Peak,Bogie 2,Vertical,0.511859334874,N/A,2870.95000002,106.096931128
-38.0146920963,145.229444186,Average Peak to Peak,Bogie 2,Vertical,0.570117769296,N/A,2872.63000002,107.107596564
-38.0151521963,145.229637386,Average Peak to Peak,Bogie 2,Vertical,0.517773704234,N/A,2874.41000002,106.523008392
-38.0156126963,145.229832486,Average Peak to Peak,Bogie 2,Vertical,0.540812697517,N/A,2876.19000002,107.720817174
-38.0181245963,145.230939586,Average Peak to Peak,Bogie 2,Vertical,0.507026778159,N/A,2885.79000002,108.190569558
-38.0185529963,145.231123486,Average Peak to Peak,Bogie 2,Vertical,0.554598923884,N/A,2887.45000002,110.915831617
-38.0190125963,145.231327686,Average Peak to Peak,Bogie 2,Vertical,0.635600395153,N/A,2889.24000002,111.539360429
-38.0194317963,145.231513586,Average Peak to Peak,Bogie 2,Vertical,0.552179235639,N/A,2890.86000002,111.766802616
-38.0339827963,145.237937086,Average Peak to Peak,Bogie 2,Vertical,0.502441795719,N/A,2944.28000002,117.170512102
-38.0344271963,145.238126186,Average Peak to Peak,Bogie 2,Vertical,0.609155192325,N/A,2945.80000002,117.039128765
-38.0418029963,145.241525686,Average Peak to Peak,Bogie 2,Vertical,0.503224658136,N/A,2973.28000002,115.112224925
-38.0422354963,145.241741086,Average Peak to Peak,Bogie 2,Vertical,0.597551912006,N/A,2974.84000002,114.500627033
-38.0426575963,145.241955886,Average Peak to Peak,Bogie 2,Vertical,0.574074520885,N/A,2976.48000002,114.091074905
-38.0430839963,145.242164886,Average Peak to Peak,Bogie 2,Vertical,0.528987620542,N/A,2978.07000002,113.300836806
-38.0342406463,145.238058936,Average Peak to Peak,Bogie 2,Vertical,0.506845936503,N/A,5111.48000007,101.746624073
-38.0338277963,145.237874986,Average Peak to Peak,Bogie 2,Vertical,0.55554783683,N/A,5113.15000007,101.439473849
