GPS files created from Packenham_Route_3rd_2.csv
Analysis type:,Fourier Analysis
Latitude,Longitude,Analysis Type,Accelerometer Location,Direction,Value,Frequency(Hz),Time,Speed
-38.0125520963,145.249837286,Fourier Analysis,Bogie 1,Vertical,0.207533836627,10.15625,2573.92000001,114.852891497
-38.0143597963,145.253823986,Fourier Analysis,Bogie 1,Vertical,0.252309882943,9.765625,2586.72000001,112.368795175
-38.0743896963,145.453998986,Fourier Analysis,Bogie 1,Vertical,0.245000874255,10.15625,5290.08000007,107.11364571
-38.0106662963,145.245596286,Fourier Analysis,Bogie 1,Vertical,0.225422199523,10.15625,6554.7200001,106.550516852
-38.0099945963,145.244139286,Fourier Analysis,Bogie 1,Vertical,0.216977674875,9.765625,6559.8400001,106.706129443
-38.0100241963,145.244203886,Fourier Analysis,Bogie 2,Vertical,0.206421355439,9.765625,2556.00000001,112.010497138
-38.0125520963,145.249837286,Fourier Analysis,Bogie 2,Vertical,0.251086098315,10.15625,2573.92000001,114.852891497
-38.0143597963,145.253823986,Fourier Analysis,Bogie 2,Vertical,0.353169976695,9.765625,2586.72000001,112.368795175
-38.0623799963,145.391284786,Fourier Analysis,Bogie 2,Vertical,0.205444818613,10.15625,3434.08000003,106.331534388
-38.0732094963,145.447903486,Fourier Analysis,Bogie 2,Vertical,0.20122766508,9.765625,3761.76000004,81.6907006467
-38.0757967963,145.461360286,Fourier Analysis,Bogie 2,Vertical,0.21301045346,10.15625,5267.04000007,98.8059488323
-38.0743896963,145.453998986,Fourier Analysis,Bogie 2,Vertical,0.341043413112,10.15625,5290.08000007,107.11364571
-38.0688421963,145.424938886,Fourier Analysis,Bogie 2,Vertical,0.258482768415,9.765625,5482.08000007,87.0547241495
-38.0630819963,145.394753286,Fourier Analysis,Bogie 2,Vertical,0.220258282723,10.15625,5692.00000008,93.3273782915
-38.0628021963,145.393303786,Fourier Analysis,Bogie 2,Vertical,0.226659720122,9.765625,5697.12000008,94.6041210982
-38.0626543963,145.392545386,Fourier Analysis,Bogie 2,Vertical,0.255161359191,9.765625,5699.68000008,95.0332021777
-38.0623677963,145.391021286,Fourier Analysis,Bogie 2,Vertical,0.202834372304,10.9375,5704.80000008,95.9367956602
-38.0620829963,145.389536986,Fourier Analysis,Bogie 2,Vertical,0.265772617448,10.15625,5709.92000008,97.1462900662
-38.0191311963,145.282351986,Fourier Analysis,Bogie 2,Vertical,0.211091698445,9.765625,6352.48000009,102.222445313
-38.0106662963,145.245596286,Fourier Analysis,Bogie 2,Vertical,0.272129392744,10.15625,6554.7200001,106.550516852
-38.0099945963,145.244139286,Fourier Analysis,Bogie 2,Vertical,0.268291856146,9.765625,6559.8400001,106.706129443
-38.0127970963,145.250400686,Average Peak to Peak,Bogie 1,Vertical,0.502916392126,N/A,2575.68000001,117.82782343
-38.0096115963,145.243282586,Average Peak to Peak,Bogie 2,Vertical,0.501886332182,N/A,2552.93000001,110.919790272
-38.0097981963,145.243712986,Average Peak to Peak,Bogie 2,Vertical,0.59665044675,N/A,2554.28000001,111.36579441
-38.0123317963,145.249336386,Average Peak to Peak,Bogie 2,Vertical,0.500477443319,N/A,2572.28000001,115.009017594
-38.0125264963,145.249776886,Average Peak to Peak,Bogie 2,Vertical,0.607000023055,N/A,2573.75000001,114.344023387
-38.0127227963,145.250208986,Average Peak to Peak,Bogie 2,Vertical,0.630049480849,N/A,2575.11000001,116.207996711
-38.0129121963,145.250662986,Average Peak to Peak,Bogie 2,Vertical,0.620836532869,N/A,2576.56000001,115.141434766
-38.0139642963,145.252963786,Average Peak to Peak,Bogie 2,Vertical,0.507150961348,N/A,2583.92000001,112.619843643
-38.0141688963,145.253399886,Average Peak to Peak,Bogie 2,Vertical,0.551620032364,N/A,2585.32000001,112.725367332
-38.0143597963,145.253823986,Average Peak to Peak,Bogie 2,Vertical,0.50473823679,N/A,2586.71000001,112.365702285
-38.0145606963,145.254265386,Average Peak to Peak,Bogie 2,Vertical,0.507922120059,N/A,2588.12000001,111.131744942
-38.0629435963,145.394057686,Average Peak to Peak,Bogie 2,Vertical,0.505785862271,N/A,5694.46000008,94.0310650506
-38.0627375963,145.392957186,Average Peak to Peak,Bogie 2,Vertical,0.500591664412,N/A,5698.27000008,94.7202275652
-38.0621972963,145.390130886,Average Peak to Peak,Bogie 2,Vertical,0.501422504742,N/A,5707.82000008,96.5091038051
-38.0619917963,145.389057886,Average Peak to Peak,Bogie 2,Vertical,0.506362728376,N/A,5711.39000008,97.1781439401
-38.0104536963,145.245133886,Average Peak to Peak,Bogie 2,Vertical,0.500867248916,N/A,6556.4500001,106.596165831
-38.0102437963,145.244669686,Average Peak to Peak,Bogie 2,Vertical,0.515644437635,N/A,6557.9400001,106.710424863
-38.0094698963,145.242982786,Base Acceleration,Bogie 1,Vertical,-0.817535964833,N/A,2552.00000001,111.112345883
-38.0099577963,145.244078786,Base Acceleration,Bogie 1,Vertical,0.804532401803,N/A,2555.64000001,112.12239771
-38.0124679963,145.249650386,Base Acceleration,Bogie 1,Vertical,-0.805825664343,N/A,2573.35000001,114.876114966
-38.0126973963,145.250156086,Base Acceleration,Bogie 1,Vertical,-0.803713756127,N/A,2574.92000001,116.502663382
-38.0142254963,145.253522886,Base Acceleration,Bogie 1,Vertical,0.888677620966,N/A,2585.82000001,112.158887247
-38.0329027963,145.319593086,Base Acceleration,Bogie 1,Vertical,-0.837095158836,N/A,2989.72000002,75.8214810331
-38.0623094963,145.390923136,Base Acceleration,Bogie 1,Vertical,0.803990411271,N/A,3432.97000003,105.742715451
-38.0744398963,145.454261686,Base Acceleration,Bogie 1,Vertical,0.862084606487,N/A,5289.24000007,107.040537746
-38.0688607963,145.425043786,Base Acceleration,Bogie 1,Vertical,-0.858745108103,N/A,5481.76000007,86.6714173219
-38.0630598963,145.394638186,Base Acceleration,Bogie 1,Vertical,-0.81535875345,N/A,5692.54000008,93.5182881955
-38.0628209963,145.393416786,Base Acceleration,Bogie 1,Vertical,-0.825396912121,N/A,5696.62000008,94.2351545945
-38.0626434963,145.392487086,Base Acceleration,Bogie 1,Vertical,-0.834808414722,N/A,5699.95000008,94.9279508977
-38.0623556963,145.390961386,Base Acceleration,Bogie 1,Vertical,-0.811333486362,N/A,5705.12000008,95.990523407
-38.0620945963,145.389596986,Base Acceleration,Bogie 1,Vertical,-0.811565855445,N/A,5709.69000008,96.9770541854
-38.0613342963,145.385642586,Base Acceleration,Bogie 1,Vertical,-0.853185831466,N/A,5722.75000008,99.0223328378
-38.0564401963,145.375358386,Base Acceleration,Bogie 1,Vertical,0.804592335784,N/A,5761.43000008,99.301209714
-38.0191119963,145.282093586,Base Acceleration,Bogie 1,Vertical,-0.848897755876,N/A,6353.37000009,102.048420734
-38.0107433963,145.245766086,Base Acceleration,Bogie 1,Vertical,-0.845544184872,N/A,6554.1900001,106.114550925
-38.0062722963,145.235900486,Base Acceleration,Bogie 2,Vertical,0.809908447262,N/A,2527.69000001,102.702779016
-38.0094188963,145.242859086,Base Acceleration,Bogie 2,Vertical,0.824849466993,N/A,2551.63000001,111.015220193
-38.0097435963,145.243599186,Base Acceleration,Bogie 2,Vertical,-0.811409717253,N/A,2553.99000001,111.988845546
-38.0099577963,145.244078786,Base Acceleration,Bogie 2,Vertical,0.86217101065,N/A,2555.55000001,112.101715799
-38.0107067963,145.245745186,Base Acceleration,Bogie 2,Vertical,0.891442483737,N/A,2560.88000001,113.41882942
-38.0124242463,145.249553486,Base Acceleration,Bogie 2,Vertical,-0.803591807399,N/A,2573.07000001,115.365223368
-38.0126104963,145.249967686,Base Acceleration,Bogie 2,Vertical,0.884289660357,N/A,2574.32000001,117.184204891
-38.0128501963,145.250529986,Base Acceleration,Bogie 2,Vertical,-0.80640747023,N/A,2576.16000001,116.126001763
-38.0141969963,145.253461286,Base Acceleration,Bogie 2,Vertical,1.02236400518,N/A,2585.52000001,112.370964007
-38.0328885963,145.319496686,Base Acceleration,Bogie 2,Vertical,0.803944363502,N/A,2989.32000002,75.8505447254
-38.0618011963,145.388194686,Base Acceleration,Bogie 2,Vertical,-0.894242703412,N/A,3424.40000003,102.746692128
-38.0623036963,145.390890586,Base Acceleration,Bogie 2,Vertical,0.88486293453,N/A,3432.87000003,105.809866868
-38.0679400963,145.420322186,Base Acceleration,Bogie 2,Vertical,0.874198768434,N/A,3596.64000003,81.082796979
-38.0683073963,145.422228686,Base Acceleration,Bogie 2,Vertical,0.822861000998,N/A,3604.03000003,85.7359753547
-38.0729006963,145.446276986,Base Acceleration,Bogie 2,Vertical,0.800624418756,N/A,3755.00000004,78.2615844824
-38.0744398963,145.454261686,Base Acceleration,Bogie 2,Vertical,0.805669104938,N/A,5289.31000007,107.0264023
-38.0689137463,145.425334136,Base Acceleration,Bogie 2,Vertical,0.80398971015,N/A,5480.62000007,86.0471670228
-38.0630708963,145.394695486,Base Acceleration,Bogie 2,Vertical,0.821109083229,N/A,5692.34000008,93.4992510861
-38.0628318963,145.393521486,Base Acceleration,Bogie 2,Vertical,0.813089700328,N/A,5696.41000008,94.2699253869
-38.0626656963,145.392603886,Base Acceleration,Bogie 2,Vertical,0.824026654708,N/A,5699.38000008,94.9312365668
-38.0624934963,145.391669886,Base Acceleration,Bogie 2,Vertical,0.86204869152,N/A,5702.64000008,95.3647642725
-38.0623556963,145.390961386,Base Acceleration,Bogie 2,Vertical,-0.939652153728,N/A,5705.01000008,95.9857396392
-38.0621284963,145.389775686,Base Acceleration,Bogie 2,Vertical,0.816396459869,N/A,5709.09000008,96.5711039083
-38.0613342963,145.385642586,Base Acceleration,Bogie 2,Vertical,-0.819340720882,N/A,5722.64000008,99.0170367274
-38.0564401963,145.375358386,Base Acceleration,Bogie 2,Vertical,0.83979659723,N/A,5761.52000008,99.096197936
-38.0191226963,145.282159186,Base Acceleration,Bogie 2,Vertical,-0.905343188451,N/A,6353.26000009,102.087401029
-38.0124979963,145.249660286,Base Acceleration,Bogie 2,Vertical,0.820480122122,N/A,6540.5900001,102.924711214
-38.0107691963,145.245823286,Base Acceleration,Bogie 2,Vertical,0.81472470044,N/A,6553.9700001,106.11970252
-38.0100209963,145.244197086,Base Acceleration,Bogie 2,Vertical,-0.804613264044,N/A,6559.5100001,106.62544109
