GPS files created from Sunbury_Route_22nd_6.csv
Analysis type:,Fourier Analysis
Latitude,Longitude,Analysis Type,Accelerometer Location,Direction,Value,Frequency(Hz),Time,Speed
-37.6796628963,144.757286786,Fourier Analysis,Bogie 1,Vertical,0.226191892111,9.765625,510.57,90.7302283542
-37.6561240963,144.738834986,Fourier Analysis,Bogie 1,Vertical,0.219104748666,10.15625,623.21,95.812691767
-37.6428732963,144.728453086,Fourier Analysis,Bogie 1,Vertical,0.26828591822,9.765625,687.21,97.4730760191
-37.6844364963,144.761024486,Fourier Analysis,Bogie 2,Vertical,0.216864393403,10.15625,484.97,84.4552637558
-37.6796628963,144.757286786,Fourier Analysis,Bogie 2,Vertical,0.267692982435,9.765625,510.57,90.7302283542
-37.6636490963,144.744727386,Fourier Analysis,Bogie 2,Vertical,0.216269925966,9.765625,587.37,101.201872703
-37.6625515963,144.743870936,Fourier Analysis,Bogie 2,Vertical,0.20231021217,8.59375,592.49,101.102185664
-37.6582166963,144.740496286,Fourier Analysis,Bogie 2,Vertical,0.226890532057,10.15625,612.97,97.5832724589
-37.6561240963,144.738834986,Fourier Analysis,Bogie 2,Vertical,0.306061509718,9.765625,623.21,95.812691767
-37.6535210963,144.736794486,Fourier Analysis,Bogie 2,Vertical,0.201509322612,9.765625,636.01,95.8753066495
-37.6428732963,144.728453086,Fourier Analysis,Bogie 2,Vertical,0.434543149182,10.15625,687.21,97.4730760191
-37.6077134963,144.718021086,Fourier Analysis,Bogie 2,Vertical,0.261669461357,10.15625,1414.25,99.168719173
-37.6082044963,144.718016286,Fourier Analysis,Bogie 2,Vertical,0.213661055698,10.15625,1416.81,100.724617008
-37.6880650963,144.763930686,Fourier Analysis,Bogie 2,Vertical,0.245952652207,10.546875,1823.85,112.944015563
-37.6644218963,144.745332786,Average Peak to Peak,Bogie 1,Vertical,0.500616521338,N/A,583.88,100.083823556
-37.6841471963,144.760801386,Average Peak to Peak,Bogie 2,Vertical,0.502215697603,N/A,486.64,85.2321782137
-37.6730804963,144.752122686,Average Peak to Peak,Bogie 2,Vertical,0.501252144376,N/A,543.01,100.039108527
-37.6726978963,144.751821986,Average Peak to Peak,Bogie 2,Vertical,0.503392388844,N/A,544.77,100.453417746
-37.6646744963,144.745532486,Average Peak to Peak,Bogie 2,Vertical,0.504945877286,N/A,582.54,100.228307925
-37.6642947963,144.745231786,Average Peak to Peak,Bogie 2,Vertical,0.630210737428,N/A,584.36,100.403547199
-37.6639084963,144.744928386,Average Peak to Peak,Bogie 2,Vertical,0.562878863599,N/A,586.17,100.949537388
-37.6583000963,144.740559286,Average Peak to Peak,Bogie 2,Vertical,0.506773094773,N/A,612.57,97.6092423678
-37.6579303963,144.740259286,Average Peak to Peak,Bogie 2,Vertical,0.559509751347,N/A,614.3,97.8132716615
-37.6564067963,144.739061286,Average Peak to Peak,Bogie 2,Vertical,0.502713590516,N/A,621.85,96.6704546029
-37.6560432963,144.738770086,Average Peak to Peak,Bogie 2,Vertical,0.500912665168,N/A,623.54,95.8439874294
-37.6433717963,144.728844786,Average Peak to Peak,Bogie 2,Vertical,0.505997007954,N/A,684.77,98.1236818875
-37.6429979963,144.728550586,Average Peak to Peak,Bogie 2,Vertical,0.634114569129,N/A,686.53,97.6562645467
-37.6426250963,144.728257886,Average Peak to Peak,Bogie 2,Vertical,0.659300803913,N/A,688.28,97.1025272615
-37.6422573963,144.727967786,Average Peak to Peak,Bogie 2,Vertical,0.536886564392,N/A,690.15,97.2402634871
-37.6404973963,144.726590186,Average Peak to Peak,Bogie 2,Vertical,0.501077519712,N/A,698.76,95.8584136467
-37.5984884963,144.718220686,Average Peak to Peak,Bogie 2,Vertical,0.507774178341,N/A,1375.78,94.042360447
-37.5990063963,144.718206786,Average Peak to Peak,Bogie 2,Vertical,0.502743234077,N/A,1377.44,93.6673571488
-37.6072186963,144.718022786,Average Peak to Peak,Bogie 2,Vertical,0.505567186726,N/A,1412.75,98.7976857987
-37.6077134963,144.718021086,Average Peak to Peak,Bogie 2,Vertical,0.616229097114,N/A,1414.22,99.1014318243
-37.6082044963,144.718016286,Average Peak to Peak,Bogie 2,Vertical,0.644822972953,N/A,1416.17,100.056478885
-37.6086659963,144.718000286,Average Peak to Peak,Bogie 2,Vertical,0.603040423941,N/A,1417.99,100.68134699
-37.6872506963,144.763287286,Average Peak to Peak,Bogie 2,Vertical,0.505595827459,N/A,1820.36,112.461633427
-37.6876342963,144.763589386,Average Peak to Peak,Bogie 2,Vertical,0.567525631441,N/A,1821.94,112.400177983
-37.6879929463,144.763873836,Average Peak to Peak,Bogie 2,Vertical,0.560479143274,N/A,1823.49,113.04203773
-37.6883520963,144.764158486,Average Peak to Peak,Bogie 2,Vertical,0.511003545454,N/A,1824.91,113.322297097
-37.6729958963,144.752055486,Base Acceleration,Bogie 1,Vertical,-0.818502407313,N/A,543.33,100.325848682
-37.6687411963,144.748738186,Base Acceleration,Bogie 1,Vertical,0.832891982432,N/A,563.42,100.090899026
-37.6639515963,144.744961886,Base Acceleration,Bogie 1,Vertical,-0.802599573122,N/A,585.96,100.746650722
