GPS files created from Sunbury_Route_26th_2.csv
Analysis type:,Fourier Analysis
Latitude,Longitude,Analysis Type,Accelerometer Location,Direction,Value,Frequency(Hz),Time,Speed
-37.6795057963,144.757174186,Fourier Analysis,Bogie 1,Vertical,0.228808627521,9.765625,1811.05,92.7680348686
-37.6580529963,144.740371986,Fourier Analysis,Bogie 1,Vertical,0.213357332027,9.765625,1923.69,92.5547940451
-37.6896137963,144.765100186,Fourier Analysis,Bogie 2,Vertical,0.217641442845,9.765625,1757.29,85.032270706
-37.6891434963,144.764728786,Fourier Analysis,Bogie 2,Vertical,0.203168644947,10.15625,1759.85,85.3183940656
-37.6825022963,144.759524686,Fourier Analysis,Bogie 2,Vertical,0.215701095493,10.15625,1795.69,90.646050927
-37.6800119963,144.757575586,Fourier Analysis,Bogie 2,Vertical,0.201225711436,10.15625,1808.49,92.4393282416
-37.6795057963,144.757174186,Fourier Analysis,Bogie 2,Vertical,0.291813218287,9.765625,1811.05,92.7680348686
-37.6580529963,144.740371986,Fourier Analysis,Bogie 2,Vertical,0.297031236041,9.765625,1923.69,92.5547940451
-37.6892518963,144.764814086,Average Peak to Peak,Bogie 2,Vertical,0.50268100973,N/A,1759.22,85.0482772741
-37.6842508963,144.760891686,Average Peak to Peak,Bogie 2,Vertical,0.505866879348,N/A,1786.46,88.3968174359
-37.6800904963,144.757636486,Average Peak to Peak,Bogie 2,Vertical,0.503384052899,N/A,1808.06,92.4663511019
-37.6797009963,144.757329386,Average Peak to Peak,Bogie 2,Vertical,0.522773080728,N/A,1809.99,92.7726819889
-37.6583269963,144.740586586,Average Peak to Peak,Bogie 2,Vertical,0.503741341944,N/A,1922.24,92.6716446458
-37.6579347963,144.740279686,Average Peak to Peak,Bogie 2,Vertical,0.541624592767,N/A,1924.19,92.5463362952
-37.6012823963,144.718152086,Average Peak to Peak,Bogie 2,Vertical,0.50534037737,N/A,3791.81000004,86.6237061842
-37.6021594963,144.718128586,Average Peak to Peak,Bogie 2,Vertical,0.50139723174,N/A,3795.20000004,88.0116261987
-37.6873558963,144.763329786,Base Acceleration,Bogie 1,Vertical,-0.813655689732,N/A,1769.69,86.2780068421
-37.6795832963,144.757235986,Base Acceleration,Bogie 1,Vertical,-0.80795355657,N/A,1810.66,92.5430130444
-37.6687536963,144.748765686,Base Acceleration,Bogie 1,Vertical,0.834563783881,N/A,1869.76,91.1057513111
-37.6636926963,144.744781486,Base Acceleration,Bogie 1,Vertical,-0.823178339505,N/A,1895.5,94.5245172475
-37.6583269963,144.740586586,Base Acceleration,Bogie 1,Vertical,-0.838503047177,N/A,1922.24,92.6716446458
-37.6578954963,144.740248986,Base Acceleration,Bogie 1,Vertical,-0.866389953205,N/A,1924.38,92.4211805309
-37.5985404963,144.718206786,Base Acceleration,Bogie 1,Vertical,-0.826779244724,N/A,3778.56000004,81.0117688519
-37.6017218963,144.718139686,Base Acceleration,Bogie 1,Vertical,-0.857626897528,N/A,3793.39000004,87.6536521794
-37.6039107963,144.718091786,Base Acceleration,Bogie 1,Vertical,-0.824790717963,N/A,3803.93000004,86.3285764576
-37.6080655963,144.718010086,Base Acceleration,Bogie 1,Vertical,-0.808162950158,N/A,3822.84000004,93.0642543222
-37.6895417963,144.765043686,Base Acceleration,Bogie 2,Vertical,-0.808397656227,N/A,1757.58,84.9180395794
-37.6875402963,144.763472386,Base Acceleration,Bogie 2,Vertical,-0.806185979732,N/A,1768.66,86.3099563364
-37.6844009963,144.761008886,Base Acceleration,Bogie 2,Vertical,-0.810797053791,N/A,1785.7,88.2317384286
-37.6838733963,144.760595586,Base Acceleration,Bogie 2,Vertical,0.814286413905,N/A,1788.34,88.6255243206
-37.6830418963,144.759941186,Base Acceleration,Bogie 2,Vertical,-0.81595023075,N/A,1792.8,89.6554032244
-37.6824244963,144.759464786,Base Acceleration,Bogie 2,Vertical,0.84330696281,N/A,1795.94,90.8592961419
-37.6810699963,144.758399586,Base Acceleration,Bogie 2,Vertical,0.80826886356,N/A,1802.93,91.5939248526
-37.6804437963,144.757911686,Base Acceleration,Bogie 2,Vertical,0.83010326014,N/A,1806.22,92.1415976441
-37.6797980463,144.757406386,Base Acceleration,Bogie 2,Vertical,0.85292789685,N/A,1809.51,92.5881534252
-37.6726007963,144.751764986,Base Acceleration,Bogie 2,Vertical,0.829465667157,N/A,1849.53,87.7857410054
-37.6687155963,144.748734386,Base Acceleration,Bogie 2,Vertical,0.855001011943,N/A,1869.85,91.0950325127
-37.6636926963,144.744781486,Base Acceleration,Bogie 2,Vertical,-0.840544725128,N/A,1895.41,94.502626744
-37.6583658963,144.740617486,Base Acceleration,Bogie 2,Vertical,-0.984750190857,N/A,1922.13,92.7032099393
-37.6579741963,144.740310586,Base Acceleration,Bogie 2,Vertical,-0.877303424991,N/A,1924.07,92.5912591374
