GPS files created from Werribee_Route_23rd_2.csv
Analysis type:,Fourier Analysis
Latitude,Longitude,Analysis Type,Accelerometer Location,Direction,Value,Frequency(Hz),Time,Speed
-37.8750968963,144.727427086,Fourier Analysis,Bogie 1,Vertical,0.241996691592,9.765625,216.17,100.989859449
-37.8756897963,144.725077786,Fourier Analysis,Bogie 1,Vertical,0.251636009643,10.15625,223.85,103.077353214
-37.8764979963,144.721872486,Fourier Analysis,Bogie 1,Vertical,0.254717293685,9.765625,234.09,101.535036402
-37.8780270963,144.715816486,Fourier Analysis,Bogie 1,Vertical,0.222338751043,9.765625,254.57,95.1956319256
-37.8896078963,144.685627286,Fourier Analysis,Bogie 1,Vertical,0.219815007307,9.765625,444.01,102.433310045
-37.8901721963,144.684234686,Fourier Analysis,Bogie 1,Vertical,0.212791688537,9.765625,449.13,103.140937685
-37.8774147963,144.718019786,Fourier Analysis,Bogie 1,Vertical,0.22118183746,10.546875,1432.17,105.410651263
-37.8750968963,144.727427086,Fourier Analysis,Bogie 2,Vertical,0.300177635407,9.765625,216.17,100.989859449
-37.8756897963,144.725077786,Fourier Analysis,Bogie 2,Vertical,0.30115694497,10.15625,223.85,103.077353214
-37.8760997963,144.723469086,Fourier Analysis,Bogie 2,Vertical,0.298648161782,9.765625,228.97,102.526807704
-37.8762838963,144.722730486,Fourier Analysis,Bogie 2,Vertical,0.2091818297,10.15625,231.53,102.264349363
-37.8764979963,144.721872486,Fourier Analysis,Bogie 2,Vertical,0.356789774256,9.765625,234.09,101.535036402
-37.8776433963,144.717320086,Fourier Analysis,Bogie 2,Vertical,0.210933383794,9.375,249.45,97.3118896077
-37.8778508963,144.716504686,Fourier Analysis,Bogie 2,Vertical,0.209113762245,9.765625,252.01,96.351014695
-37.8780270963,144.715816486,Fourier Analysis,Bogie 2,Vertical,0.296174434145,9.765625,254.57,95.1956319256
-37.8886856963,144.687911486,Fourier Analysis,Bogie 2,Vertical,0.208479297678,9.765625,436.33,100.009213315
-37.8892849963,144.686432086,Fourier Analysis,Bogie 2,Vertical,0.200332159538,10.15625,441.45,102.032487379
-37.8896078963,144.685627286,Fourier Analysis,Bogie 2,Vertical,0.277096097706,9.765625,444.01,102.433310045
-37.8901721963,144.684234686,Fourier Analysis,Bogie 2,Vertical,0.250940447199,10.15625,449.13,103.140937685
-37.8774147963,144.718019786,Fourier Analysis,Bogie 2,Vertical,0.245467216822,10.9375,1432.17,105.410651263
-37.8748937963,144.728019886,Fourier Analysis,Bogie 2,Vertical,0.215910417611,9.765625,1462.89,109.873814973
-37.8731793963,144.734808486,Fourier Analysis,Bogie 2,Vertical,0.241574009644,10.546875,1483.37,110.742760943
-37.8523976963,144.817055686,Fourier Analysis,Bogie 2,Vertical,0.208446560109,10.546875,1977.45,115.346859862
-37.8512950963,144.821448986,Fourier Analysis,Bogie 2,Vertical,0.23683951698,10.15625,1990.25,112.943317027
-37.8499863963,144.826647486,Fourier Analysis,Bogie 2,Vertical,0.252770733746,9.765625,2005.61,108.607537513
-37.8497887963,144.827430086,Fourier Analysis,Bogie 2,Vertical,0.223844654051,10.9375,2008.17,108.462914677
-37.8758479963,144.724457186,Average Peak to Peak,Bogie 1,Vertical,0.500870338807,N/A,225.61,102.949101419
-37.8760674963,144.723593086,Average Peak to Peak,Bogie 1,Vertical,0.502034738076,N/A,228.7,102.538974069
-37.8761911963,144.723099286,Average Peak to Peak,Bogie 1,Vertical,0.534505260547,N/A,230.04,102.335600458
-37.8763146963,144.722606786,Average Peak to Peak,Bogie 1,Vertical,0.503117747781,N/A,231.7,101.972710703
-37.8777624963,144.716853086,Average Peak to Peak,Bogie 1,Vertical,0.502883274536,N/A,250.96,96.7611730712
-37.8778806963,144.716388886,Average Peak to Peak,Bogie 1,Vertical,0.525983221136,N/A,252.45,96.1230950152
-37.8885042963,144.688358086,Average Peak to Peak,Bogie 1,Vertical,0.502578700793,N/A,434.43,99.1591347193
