GPS files created from Werribee_Route_29th_3.csv
Analysis type:,Fourier Analysis
Latitude,Longitude,Analysis Type,Accelerometer Location,Direction,Value,Frequency(Hz),Time,Speed
-37.8495448963,144.828621986,Fourier Analysis,Bogie 1,Vertical,0.233808739959,9.765625,205.92,105.943655791
-37.8535947963,144.812469986,Fourier Analysis,Bogie 1,Vertical,0.209706101888,10.546875,254.56,113.10239141
-37.8562701963,144.801900686,Fourier Analysis,Bogie 1,Vertical,0.200668866429,10.9375,285.28,113.260638784
-37.8873821963,144.691077186,Fourier Analysis,Bogie 1,Vertical,0.218429704869,10.15625,1063.52,92.9632786816
-37.8905844963,144.683180186,Fourier Analysis,Bogie 1,Vertical,0.214055505699,10.15625,1091.68,104.458045511
-37.8526661963,144.816026286,Fourier Analysis,Bogie 1,Vertical,0.256121193301,10.15625,2755.68000001,112.317034853
-37.8513365963,144.821278686,Fourier Analysis,Bogie 1,Vertical,0.208461215468,10.9375,2771.04000001,114.438755076
-37.8500115963,144.826543586,Fourier Analysis,Bogie 1,Vertical,0.22213323758,10.15625,2786.40000001,111.401564915
-37.8498120963,144.827347486,Fourier Analysis,Bogie 1,Vertical,0.251917822411,10.15625,2788.96000001,110.465285809
-37.8495448963,144.828621986,Fourier Analysis,Bogie 2,Vertical,0.326035168812,9.765625,205.92,105.943655791
-37.8507653963,144.823659086,Fourier Analysis,Bogie 2,Vertical,0.247645029289,9.375,221.28,110.596112649
-37.8520580963,144.818580686,Fourier Analysis,Bogie 2,Vertical,0.228053916839,9.765625,236.64,112.33572085
-37.8527359963,144.815872186,Fourier Analysis,Bogie 2,Vertical,0.270794195922,8.984375,244.32,113.124070593
-37.8529416963,144.815054786,Fourier Analysis,Bogie 2,Vertical,0.20318956522,10.15625,246.88,113.214328393
-37.8535947963,144.812469986,Fourier Analysis,Bogie 2,Vertical,0.215775192753,9.765625,254.56,113.10239141
-37.8558137963,144.803683886,Fourier Analysis,Bogie 2,Vertical,0.2345456989,10.15625,280.16,115.059790227
-37.8562701963,144.801900686,Fourier Analysis,Bogie 2,Vertical,0.236578773179,10.15625,285.28,113.260638784
-37.8567116963,144.800141886,Fourier Analysis,Bogie 2,Vertical,0.226611801351,9.765625,290.4,111.86885877
-37.8582240963,144.794151186,Fourier Analysis,Bogie 2,Vertical,0.225803591684,10.15625,308.32,109.120419033
-37.8751754963,144.727068686,Fourier Analysis,Bogie 2,Vertical,0.201633378743,10.15625,838.239999999,102.983605032
