Time,Speed,Date Route,Analysis Type,Accelerometer Location,Route,Exceedence Instance,Series_y,Date Exc,Speed Bracket,Nearest Station,Series,Run
1.63,10.93889235,23/10/2015,GPS,GPS,,,,,GPS,,1,1
6.9,25.29199584,23/10/2015,GPS,GPS,,,,,GPS,,1,1
12.17,39.76766993,23/10/2015,GPS,GPS,,,,,GPS,,1,1
17.44,51.4535441,23/10/2015,GPS,GPS,,,,,GPS,,1,1
22.71,59.39553712,23/10/2015,GPS,GPS,,,,,GPS,,1,1
27.98,65.25396213,23/10/2015,GPS,GPS,,,,,GPS,,1,1
33.25,69.13933484,23/10/2015,GPS,GPS,,,,,GPS,,1,1
38.52,73.65634286,23/10/2015,GPS,GPS,,,,,GPS,,1,1
40.15,74.72271597,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,70-80,Aircraft,2,1
40.25,74.8213825,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,70-80,Aircraft,2,1
43.05,76.60946984,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,70-80,Aircraft,2,1
43.15,76.74144074,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,70-80,Aircraft,2,1
43.79,76.98134451,23/10/2015,GPS,GPS,,,,,GPS,,1,1
49.06,76.20669722,23/10/2015,GPS,GPS,,,,,GPS,,1,1
54.33,74.99146516,23/10/2015,GPS,GPS,,,,,GPS,,1,1
59.6,72.79083536,23/10/2015,GPS,GPS,,,,,GPS,,1,1
64.87,65.49649501,23/10/2015,GPS,GPS,,,,,GPS,,1,1
70.14,54.27225625,23/10/2015,GPS,GPS,,,,,GPS,,1,1
75.41,44.28401304,23/10/2015,GPS,GPS,,,,,GPS,,1,1
80.68,33.83672666,23/10/2015,GPS,GPS,,,,,GPS,,1,1
85.95,21.88082566,23/10/2015,GPS,GPS,,,,,GPS,,1,1
91.22,7.790775918,23/10/2015,GPS,GPS,,,,,GPS,,1,1
96.49,1.492036802,23/10/2015,GPS,GPS,,,,,GPS,,1,1
101.76,0.821798131,23/10/2015,GPS,GPS,,,,,GPS,,1,1
107.03,0.810222732,23/10/2015,GPS,GPS,,,,,GPS,,1,1
112.3,0.424951267,23/10/2015,GPS,GPS,,,,,GPS,,1,1
117.57,0.604995631,23/10/2015,GPS,GPS,,,,,GPS,,1,1
122.84,0.311333362,23/10/2015,GPS,GPS,,,,,GPS,,1,1
128.11,0.691110166,23/10/2015,GPS,GPS,,,,,GPS,,1,1
133.38,16.1387339,23/10/2015,GPS,GPS,,,,,GPS,,1,1
138.65,31.39857919,23/10/2015,GPS,GPS,,,,,GPS,,1,1
143.92,46.57206157,23/10/2015,GPS,GPS,,,,,GPS,,1,1
149.19,56.96147972,23/10/2015,GPS,GPS,,,,,GPS,,1,1
154.46,64.12641419,23/10/2015,GPS,GPS,,,,,GPS,,1,1
159.73,69.79782109,23/10/2015,GPS,GPS,,,,,GPS,,1,1
165,74.39549174,23/10/2015,GPS,GPS,,,,,GPS,,1,1
170.27,78.20239709,23/10/2015,GPS,GPS,,,,,GPS,,1,1
175.54,81.50408673,23/10/2015,GPS,GPS,,,,,GPS,,1,1
180.81,84.41542943,23/10/2015,GPS,GPS,,,,,GPS,,1,1
181.82,85.29633916,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,80-90,Aircraft,2,1
182.47,85.12232549,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,80-90,Aircraft,2,1
182.48,85.11497137,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,80-90,Aircraft,2,1
182.96,85.71754059,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,80-90,Aircraft,2,1
184.37,86.97413514,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,80-90,Aircraft,2,1
184.39,86.9532591,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,80-90,Aircraft,2,1
184.49,86.83323132,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,80-90,Aircraft,2,1
184.59,86.69545278,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,80-90,Aircraft,2,1
186.08,87.51571066,23/10/2015,GPS,GPS,,,,,GPS,,1,1
188.8,88.15643649,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,80-90,Aircraft,2,1
191.35,89.58944861,23/10/2015,GPS,GPS,,,,,GPS,,1,1
196.62,92.15859516,23/10/2015,GPS,GPS,,,,,GPS,,1,1
199.59,93.2258517,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Aircraft,2,1
201.89,94.35031464,23/10/2015,GPS,GPS,,,,,GPS,,1,1
207.16,96.59144833,23/10/2015,GPS,GPS,,,,,GPS,,1,1
209.88,98.27032754,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
212.43,99.69644226,23/10/2015,GPS,GPS,,,,,GPS,,1,1
212.71,100.1886367,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
214.44,100.528375,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
215.18,100.8731528,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
215.27,100.9535168,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
215.27,100.9535168,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
215.67,101.0013597,23/10/2015,Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
216.26,101.0684005,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
216.45,101.2654512,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
217.66,101.9077368,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
217.69,101.9609872,23/10/2015,GPS,GPS,,,,,GPS,,1,1
217.75,102.0557535,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
217.82,102.142362,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
219.88,102.8361638,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
220.79,103.1165617,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
221.19,102.9965315,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
