,Time,GPS Latitude,GPS Longitude,Speed,Date Route,Series_x,Latitude,Longitude,Analysis Type,Accelerometer Location,Direction,Value,direction,Speed_y,Route,Exceedence Instance,Series_y,Date Exc,Speed Bracket,Nearest Station,Series,Run
0,1.63,-37.8666518,144.7608005,10.93889235,23/10/2015,1,,,,,,,,,,,,,,,1,1
527,6.9,-37.8667293,144.7605113,25.29199584,23/10/2015,1,,,,,,,,,,,,,,,1,1
1054,12.17,-37.8668644,144.7599949,39.76766993,23/10/2015,1,,,,,,,,,,,,,,,1,1
1581,17.44,-37.8670482,144.7592726,51.4535441,23/10/2015,1,,,,,,,,,,,,,,,1,1
2108,22.71,-37.8672622,144.7584045,59.39553712,23/10/2015,1,,,,,,,,,,,,,,,1,1
2635,27.98,-37.8675119,144.7574334,65.25396213,23/10/2015,1,,,,,,,,,,,,,,,1,1
3162,33.25,-37.8678013,144.7562945,69.13933484,23/10/2015,1,,,,,,,,,,,,,,,1,1
3689,38.52,-37.8680723,144.7552235,73.65634286,23/10/2015,1,,,,,,,,,,,,,,,1,1
4216,43.79,-37.8683656,144.7540393,76.98134451,23/10/2015,1,,,,,,,,,,,,,,,1,1
4743,49.06,-37.8686934,144.7527484,76.20669722,23/10/2015,1,,,,,,,,,,,,,,,1,1
5270,54.33,-37.8689898,144.7515682,74.99146516,23/10/2015,1,,,,,,,,,,,,,,,1,1
5797,59.6,-37.8692879,144.7504186,72.79083536,23/10/2015,1,,,,,,,,,,,,,,,1,1
6324,64.87,-37.8695778,144.7493369,65.49649501,23/10/2015,1,,,,,,,,,,,,,,,1,1
6851,70.14,-37.8698465,144.748411,54.27225625,23/10/2015,1,,,,,,,,,,,,,,,1,1
7378,75.41,-37.8700627,144.7476146,44.28401304,23/10/2015,1,,,,,,,,,,,,,,,1,1
7905,80.68,-37.8702397,144.7469738,33.83672666,23/10/2015,1,,,,,,,,,,,,,,,1,1
8432,85.95,-37.8702866,144.746532,21.88082566,23/10/2015,1,,,,,,,,,,,,,,,1,1
8959,91.22,-37.8703267,144.746303,7.790775918,23/10/2015,1,,,,,,,,,,,,,,,1,1
9486,96.49,-37.8703804,144.7462429,1.492036802,23/10/2015,1,,,,,,,,,,,,,,,1,1
10013,101.76,-37.8703923,144.7462485,0.821798131,23/10/2015,1,,,,,,,,,,,,,,,1,1
10540,107.03,-37.8703914,144.7462512,0.810222732,23/10/2015,1,,,,,,,,,,,,,,,1,1
11067,112.3,-37.8703841,144.7462543,0.424951267,23/10/2015,1,,,,,,,,,,,,,,,1,1
11594,117.57,-37.8703946,144.7462586,0.604995631,23/10/2015,1,,,,,,,,,,,,,,,1,1
12121,122.84,-37.8704105,144.7462729,0.311333362,23/10/2015,1,,,,,,,,,,,,,,,1,1
12648,128.11,-37.8704272,144.7462822,0.691110166,23/10/2015,1,,,,,,,,,,,,,,,1,1
13175,133.38,-37.8704322,144.7461267,16.1387339,23/10/2015,1,,,,,,,,,,,,,,,1,1
13702,138.65,-37.8705063,144.7457217,31.39857919,23/10/2015,1,,,,,,,,,,,,,,,1,1
14229,143.92,-37.8706693,144.7451057,46.57206157,23/10/2015,1,,,,,,,,,,,,,,,1,1
14756,149.19,-37.870899,144.7442972,56.96147972,23/10/2015,1,,,,,,,,,,,,,,,1,1
15283,154.46,-37.8711382,144.7433452,64.12641419,23/10/2015,1,,,,,,,,,,,,,,,1,1
15810,159.73,-37.8713776,144.7422956,69.79782109,23/10/2015,1,,,,,,,,,,,,,,,1,1
16337,165,-37.8716551,144.7410673,74.39549174,23/10/2015,1,,,,,,,,,,,,,,,1,1
16864,170.27,-37.8719527,144.7398735,78.20239709,23/10/2015,1,,,,,,,,,,,,,,,1,1
17391,175.54,-37.8722658,144.7386209,81.50408673,23/10/2015,1,,,,,,,,,,,,,,,1,1
17918,180.81,-37.8725908,144.7373212,84.41542943,23/10/2015,1,,,,,,,,,,,,,,,1,1
18445,186.08,-37.8729427,144.7359315,87.51571066,23/10/2015,1,,,,,,,,,,,,,,,1,1
18972,191.35,-37.8732963,144.7345493,89.58944861,23/10/2015,1,,,,,,,,,,,,,,,1,1
19499,196.62,-37.873658,144.7331252,92.15859516,23/10/2015,1,,,,,,,,,,,,,,,1,1
20026,201.89,-37.8740232,144.7316601,94.35031464,23/10/2015,1,,,,,,,,,,,,,,,1,1
20553,207.16,-37.8743989,144.7301687,96.59144833,23/10/2015,1,,,,,,,,,,,,,,,1,1
21080,212.43,-37.8748217,144.7285111,99.69644226,23/10/2015,1,,,,,,,,,,,,,,,1,1
21607,217.69,-37.8752192,144.7269371,101.9609872,23/10/2015,1,,,,,,,,,,,,,,,1,1
22134,222.96,-37.8756268,144.7253278,103.8187533,23/10/2015,1,,,,,,,,,,,,,,,1,1
22661,228.22,-37.8760345,144.7237159,102.9137857,23/10/2015,1,,,,,,,,,,,,,,,1,1
23188,233.48,-37.8764366,144.7221173,101.9671134,23/10/2015,1,,,,,,,,,,,,,,,1,1
23715,238.75,-37.876836,144.7205339,100.1818071,23/10/2015,1,,,,,,,,,,,,,,,1,1
24242,244.02,-37.8772571,144.7188551,98.69271621,23/10/2015,1,,,,,,,,,,,,,,,1,1
24769,249.29,-37.8776434,144.7173201,97.44668941,23/10/2015,1,,,,,,,,,,,,,,,1,1
25296,254.56,-37.8780271,144.7158165,95.19661648,23/10/2015,1,,,,,,,,,,,,,,,1,1
25823,259.83,-37.8783986,144.714337,93.35176031,23/10/2015,1,,,,,,,,,,,,,,,1,1
26350,265.1,-37.8787622,144.7128965,91.35862958,23/10/2015,1,,,,,,,,,,,,,,,1,1
26877,270.37,-37.8792107,144.7113976,89.08206765,23/10/2015,1,,,,,,,,,,,,,,,1,1
27404,275.64,-37.8796945,144.710112,86.97183542,23/10/2015,1,,,,,,,,,,,,,,,1,1
27931,280.91,-37.8801906,144.7088703,84.04588463,23/10/2015,1,,,,,,,,,,,,,,,1,1
28458,286.18,-37.8806816,144.7076686,79.6533168,23/10/2015,1,,,,,,,,,,,,,,,1,1
28985,291.45,-37.881138,144.7065514,72.95540937,23/10/2015,1,,,,,,,,,,,,,,,1,1
29512,296.72,-37.8815522,144.7055244,66.82584128,23/10/2015,1,,,,,,,,,,,,,,,1,1
30039,301.99,-37.8819489,144.7045473,56.52950357,23/10/2015,1,,,,,,,,,,,,,,,1,1
30566,307.26,-37.8822513,144.7037894,47.18405197,23/10/2015,1,,,,,,,,,,,,,,,1,1
31093,312.53,-37.8825089,144.7031644,37.3886838,23/10/2015,1,,,,,,,,,,,,,,,1,1
31620,317.8,-37.8827112,144.7026731,29.68314468,23/10/2015,1,,,,,,,,,,,,,,,1,1
32147,323.07,-37.8828594,144.7023127,19.05029685,23/10/2015,1,,,,,,,,,,,,,,,1,1
32674,328.34,-37.8829289,144.7021245,4.569432953,23/10/2015,1,,,,,,,,,,,,,,,1,1
33201,333.61,-37.8829374,144.7021186,0.461421984,23/10/2015,1,,,,,,,,,,,,,,,1,1
33728,338.88,-37.8829242,144.702117,0.619165802,23/10/2015,1,,,,,,,,,,,,,,,1,1
34255,344.15,-37.88292165,144.7021146,0.414045937,23/10/2015,1,,,,,,,,,,,,,,,1,1
34782,349.42,-37.8829268,144.7021161,0.625023863,23/10/2015,1,,,,,,,,,,,,,,,1,1
35309,354.69,-37.8829288,144.7021216,0.254819382,23/10/2015,1,,,,,,,,,,,,,,,1,1
35836,359.96,-37.8829279,144.7021149,1.741100021,23/10/2015,1,,,,,,,,,,,,,,,1,1
36363,365.23,-37.882987,144.7019763,15.30485438,23/10/2015,1,,,,,,,,,,,,,,,1,1
36890,370.5,-37.8831195,144.7016559,28.47079613,23/10/2015,1,,,,,,,,,,,,,,,1,1
37417,375.77,-37.8833225,144.7011434,41.42387677,23/10/2015,1,,,,,,,,,,,,,,,1,1
37944,381.04,-37.8836037,144.7004522,52.8580101,23/10/2015,1,,,,,,,,,,,,,,,1,1
38471,386.31,-37.883945,144.6996175,61.02499804,23/10/2015,1,,,,,,,,,,,,,,,1,1
38998,391.58,-37.884355,144.6986048,67.24257514,23/10/2015,1,,,,,,,,,,,,,,,1,1
39525,396.85,-37.8847679,144.697577,72.80372716,23/10/2015,1,,,,,,,,,,,,,,,1,1
40052,402.12,-37.885216,144.6964738,77.24928079,23/10/2015,1,,,,,,,,,,,,,,,1,1
40579,407.39,-37.8856845,144.695306,81.8350477,23/10/2015,1,,,,,,,,,,,,,,,1,1
41106,412.66,-37.8861906,144.694085,85.607233,23/10/2015,1,,,,,,,,,,,,,,,1,1
41633,417.93,-37.8867089,144.6928077,88.39582879,23/10/2015,1,,,,,,,,,,,,,,,1,1
42160,423.2,-37.8872829,144.6913803,92.34013061,23/10/2015,1,,,,,,,,,,,,,,,1,1
42687,428.47,-37.8878373,144.6899975,95.77848413,23/10/2015,1,,,,,,,,,,,,,,,1,1
43214,433.74,-37.8884146,144.6885781,98.62980009,23/10/2015,1,,,,,,,,,,,,,,,1,1
43741,438.99,-37.889008,144.6871185,100.9181501,23/10/2015,1,,,,,,,,,,,,,,,1,1
44268,444.25,-37.8896079,144.6856273,102.5617812,23/10/2015,1,,,,,,,,,,,,,,,1,1
44795,449.51,-37.8902196,144.6841177,103.3016294,23/10/2015,1,,,,,,,,,,,,,,,1,1
45322,454.78,-37.8908785,144.6824873,102.7376793,23/10/2015,1,,,,,,,,,,,,,,,1,1
45849,460.04,-37.8914881,144.6809904,102.3063141,23/10/2015,1,,,,,,,,,,,,,,,1,1
46376,465.3,-37.8920869,144.6795146,98.8797186,23/10/2015,1,,,,,,,,,,,,,,,1,1
46903,470.57,-37.892638,144.6781276,91.42700147,23/10/2015,1,,,,,,,,,,,,,,,1,1
47430,475.84,-37.8931693,144.6768489,84.48492963,23/10/2015,1,,,,,,,,,,,,,,,1,1
47957,481.11,-37.8936524,144.675656,76.80499005,23/10/2015,1,,,,,,,,,,,,,,,1,1
48484,486.38,-37.894106,144.6745043,70.46393914,23/10/2015,1,,,,,,,,,,,,,,,1,1
49011,491.65,-37.8945218,144.6735078,65.94234331,23/10/2015,1,,,,,,,,,,,,,,,1,1
49538,496.92,-37.8948984,144.6725867,61.07047483,23/10/2015,1,,,,,,,,,,,,,,,1,1
50065,502.19,-37.8952496,144.6717296,57.55911637,23/10/2015,1,,,,,,,,,,,,,,,1,1
50592,507.46,-37.8955916,144.6708881,56.87071542,23/10/2015,1,,,,,,,,,,,,,,,1,1
51119,512.73,-37.8959191,144.6700728,53.31798121,23/10/2015,1,,,,,,,,,,,,,,,1,1
51646,518,-37.8962424,144.6692839,46.50710239,23/10/2015,1,,,,,,,,,,,,,,,1,1
52173,523.27,-37.8964958,144.6686448,42.8694088,23/10/2015,1,,,,,,,,,,,,,,,1,1
52700,528.54,-37.8967468,144.66802,42.60632942,23/10/2015,1,,,,,,,,,,,,,,,1,1
53227,533.81,-37.8969819,144.667397,41.49559498,23/10/2015,1,,,,,,,,,,,,,,,1,1
53754,539.08,-37.8972109,144.6668199,38.26819266,23/10/2015,1,,,,,,,,,,,,,,,1,1
54281,544.35,-37.8974511,144.6662373,37.71960885,23/10/2015,1,,,,,,,,,,,,,,,1,1
54808,549.62,-37.8976811,144.6656585,37.89926176,23/10/2015,1,,,,,,,,,,,,,,,1,1
55335,554.89,-37.8979216,144.6651116,37.55467854,23/10/2015,1,,,,,,,,,,,,,,,1,1
55862,560.16,-37.898091,144.6645481,37.77779595,23/10/2015,1,,,,,,,,,,,,,,,1,1
56389,565.43,-37.8983034,144.6639947,37.28687138,23/10/2015,1,,,,,,,,,,,,,,,1,1
