	Latitude	Longitude	Analysis Type	Accelerometer Location	Direction	Value	Frequency(Hz)	Time	Speed	Route	Speed Bracket	Nearest Station	Exceedence Instance
0	-37.6243515963	144.938278786	Fourier Analysis	Bogie 1	Vertical	0.247912102518	9.765625	106.09	113.340998703	Cragieburn	110-120	Craigieburn Station	1
1	-37.6538790963	144.929571986	Fourier Analysis	Bogie 1	Vertical	0.204691145372	10.15625	275.05	100.560101434	Cragieburn	100-110	Broadmeadows Station	1
2	-37.6188166963	144.939400386	Fourier Analysis	Bogie 2	Vertical	0.223667500977	10.15625	85.61	105.210368422	Cragieburn	100-110	Craigieburn Station	1
3	-37.6243515963	144.938278786	Fourier Analysis	Bogie 2	Vertical	0.292309403943	9.765625	106.09	113.340998703	Cragieburn	110-120	Craigieburn Station	1
4	-37.6538790963	144.929571986	Fourier Analysis	Bogie 2	Vertical	0.284281416911	10.15625	275.05	100.560101434	Cragieburn	100-110	Broadmeadows Station	1
5	-37.6726922963	144.923765386	Fourier Analysis	Bogie 2	Vertical	0.264113431598	9.765625	408.17	88.1177232768	Cragieburn		Broadmeadows Station	1
6	-37.7878430963	144.929142486	Fourier Analysis	Body	Lateral	0.219985339451	0.390625	1460.33	4.3071268461	Cragieburn	<10	Newmarket Station	1
7	-37.6192327963	144.939314986	Average Peak to Peak	Bogie 2	Vertical	0.500957681379		87.24	105.583490791	Cragieburn	100-110	Craigieburn Station	1
8	-37.6240155963	144.938344986	Average Peak to Peak	Bogie 2	Vertical	0.50057728601		104.89	113.611994775	Cragieburn	110-120	Craigieburn Station	1
9	-37.6244623963	144.938256586	Average Peak to Peak	Bogie 2	Vertical	0.547906319298		106.37	113.349979674	Cragieburn	110-120	Craigieburn Station	1
10	-37.6249123963	144.938168586	Average Peak to Peak	Bogie 2	Vertical	0.554079217388		107.97	113.736528049	Cragieburn	110-120	Craigieburn Station	1
11	-37.6534382963	144.929858586	Average Peak to Peak	Bogie 2	Vertical	0.508046251477		272.9	99.8754706489	Cragieburn	90-100	Broadmeadows Station	1
12	-37.6185066963	144.939467286	Base Acceleration	Bogie 1	Vertical	-0.839700012794		84.76	104.71872805	Cragieburn	100-110	Craigieburn Station	1
13	-37.6241277963	144.938322886	Base Acceleration	Bogie 1	Vertical	-0.827325512445		105.39	114.08595169	Cragieburn	110-120	Craigieburn Station	1
14	-37.6247991963	144.938193286	Base Acceleration	Bogie 1	Vertical	-0.828519807071		107.87	113.74415139	Cragieburn	110-120	Craigieburn Station	1
15	-37.6299376963	144.937145286	Base Acceleration	Bogie 1	Vertical	-0.813723670848		126.09	106.804719588	Cragieburn	100-110	Craigieburn Station	1
16	-37.6537905963	144.929628086	Base Acceleration	Bogie 1	Vertical	-0.845962683664		274.62	99.9381516517	Cragieburn	90-100	Broadmeadows Station	1
17	-37.6724279963	144.923823486	Base Acceleration	Bogie 1	Vertical	-0.830583381674		407.27	86.8136346775	Cragieburn		Broadmeadows Station	1
18	-37.6172771963	144.939699186	Base Acceleration	Bogie 2	Vertical	0.810169575972		79.77	103.28020429	Cragieburn	100-110	Craigieburn Station	1
19	-37.6185066963	144.939467286	Base Acceleration	Bogie 2	Vertical	-0.847379843535		84.85	104.716157482	Cragieburn	100-110	Craigieburn Station	1
20	-37.6193372963	144.939292586	Base Acceleration	Bogie 2	Vertical	0.816023236179		87.67	105.418613602	Cragieburn	100-110	Craigieburn Station	1
21	-37.6198666963	144.939183886	Base Acceleration	Bogie 2	Vertical	0.939003864841		89.69	106.743397933	Cragieburn	100-110	Craigieburn Station	1
22	-37.6206071963	144.939033386	Base Acceleration	Bogie 2	Vertical	0.830611286654		92.7	108.322134012	Cragieburn	100-110	Craigieburn Station	1
23	-37.6241277963	144.938322886	Base Acceleration	Bogie 2	Vertical	0.808833996597		105.38	114.083885382	Cragieburn	110-120	Craigieburn Station	1
24	-37.6245763963	144.938233586	Base Acceleration	Bogie 2	Vertical	0.97517911202		106.77	113.662811418	Cragieburn	110-120	Craigieburn Station	1
25	-37.6299376963	144.937145286	Base Acceleration	Bogie 2	Vertical	-0.895198530546		126.17	106.648003392	Cragieburn	100-110	Craigieburn Station	1
26	-37.6435706963	144.934415886	Base Acceleration	Bogie 2	Vertical	0.807616710323		226.88	81.7424228317	Cragieburn		Broadmeadows Station	1
27	-37.6529025963	144.930196086	Base Acceleration	Bogie 2	Vertical	0.821950104608		270.68	99.1910308358	Cragieburn	90-100	Broadmeadows Station	1
28	-37.6537905963	144.929628086	Base Acceleration	Bogie 2	Vertical	-0.813536551686		274.53	99.8552477035	Cragieburn	90-100	Broadmeadows Station	1
29	-37.6553204963	144.928669786	Base Acceleration	Bogie 2	Vertical	0.875987230606		281.27	100.690438541	Cragieburn	100-110	Broadmeadows Station	1
30	-37.6724279963	144.923823486	Base Acceleration	Bogie 2	Vertical	0.85251421457		407.08	86.6704611636	Cragieburn		Broadmeadows Station	1
31	-37.7877954963	144.929119486	Base Acceleration	Body	Lateral	-1.08139423309		1460.29	4.06850978686	Cragieburn	<10	Newmarket Station	1
0	-37.6020385963	144.943232586	Fourier Analysis	Body	Lateral	0.261960626294	0.390625	1790.56	7.33691784917	Cragieburn	<10	Craigieburn Station	1
1	-37.6021160963	144.943214586	Average Peak to Peak	Body	Lateral	0.409759679448		1787.93	6.50225506192	Cragieburn	<10	Craigieburn Station	1
